Transaction_Date,Type,Ticker,Shares,Price,Investment,Tax_Type
2023-06-29,SELL,TSLA,1.388,257.88,357.9374,Short-Term
2023-06-30,BUY,TSLA,1.3854,260.66,361.1184,--
2023-06-30,DIV,AVGO,0.4157,4.6,1.9122,Ordinary
2023-06-30,DIV,NVDA,0.4911,0.04,0.0196,Ordinary
2023-07-03,BUY,META,1.2431,286.6,356.2725,--
2023-07-03,SELL,TSM,3.4145,102.26,349.1668,Short-Term
2023-07-05,BUY,V,1.4986,234.64,351.6315,--
2023-07-05,SELL,TSLA,1.3854,278.7,386.111,Short-Term
2023-07-06,BUY,TSLA,1.266,278.26,352.2772,--
2023-07-06,BUY,BRK-A,0.0007,518328.57,362.83,--
2023-07-06,SELL,V,1.4986,238.27,357.0714,Short-Term
2023-07-10,BUY,MA,0.9209,388.58,357.8433,--
2023-07-10,BUY,PEP,1.955,184.07,359.8569,--
2023-07-10,SELL,BABA,4.194,90.0,377.46,Short-Term
2023-07-10,SELL,BRK-A,0.0007,520371.43,364.26,Short-Term
2023-07-10,DIV,MRK,1.5787,0.73,1.1525,Qualified
2023-07-12,BUY,ORCL,4.516,115.97,523.7205,--
2023-07-12,BUY,V,2.1567,241.56,520.9725,--
2023-07-12,BUY,NGG,7.9595,65.79,523.6555,--
2023-07-12,SELL,MA,0.9209,399.67,368.0561,Short-Term
2023-07-12,SELL,META,1.2431,301.67,375.006,Short-Term
2023-07-12,SELL,NVO,1.1018,152.17,167.6609,Short-Term
2023-07-13,BUY,META,1.6785,313.94,526.9483,--
2023-07-13,BUY,BRK-A,0.001,526000.0,526.0,--
2023-07-13,BUY,CSCO,10.2331,50.68,518.6135,--
2023-07-13,BUY,NVS,5.3151,98.62,524.1752,--
2023-07-13,SELL,NGG,7.9595,67.13,534.3212,Short-Term
2023-07-13,SELL,NVDA,0.8104,445.53,361.0575,Short-Term
2023-07-14,SELL,AMZN,1.534,134.12,205.7401,Short-Term
2023-07-14,SELL,PEP,1.955,187.86,367.2663,Short-Term
2023-07-14,SELL,V,2.1567,244.73,527.8092,Short-Term
2023-07-17,BUY,AMZN,3.8693,134.58,520.7304,--
2023-07-17,BUY,PEP,2.7688,186.34,515.9382,--
2023-07-18,SELL,TSLA,1.266,290.0,367.14,Short-Term
2023-07-19,BUY,TSLA,1.7785,296.09,526.5961,--
2023-07-19,BUY,MA,1.3103,398.11,521.6435,--
2023-07-19,SELL,PEP,2.7688,185.02,512.2834,Short-Term
2023-07-20,SELL,BRK-A,0.001,520370.0,520.37,Short-Term
2023-07-21,BUY,CRM,2.285,230.19,525.9841,--
2023-07-21,BUY,ACN,1.6685,313.29,522.7244,--
2023-07-21,SELL,GOOGL,1.5315,120.47,184.4998,Short-Term
2023-07-21,SELL,TSLA,1.7785,267.98,476.6024,Short-Term
2023-07-24,BUY,MSFT,1.1327,346.07,391.9935,--
2023-07-24,BUY,ADBE,0.7485,520.25,389.4071,--
2023-07-24,BUY,TMO,0.6926,560.02,387.8699,--
2023-07-24,BUY,NGG,5.6671,69.19,392.1066,--
2023-07-25,SELL,TMO,0.6926,555.47,384.7185,Short-Term
2023-07-26,BUY,MCD,1.3315,292.58,389.5703,--
2023-07-26,SELL,CSCO,10.2331,53.54,547.8802,Short-Term
2023-07-27,SELL,CVX,1.2587,161.71,203.5444,Short-Term
2023-07-27,SELL,PG,2.399,154.57,370.8134,Short-Term
2023-07-31,BUY,ABBV,2.5914,150.45,389.8761,--
2023-07-31,BUY,CSCO,7.5047,51.86,389.1937,--
2023-07-31,SELL,GOOG,1.5208,132.98,202.236,Short-Term
2023-07-31,SELL,MCD,1.3315,293.62,390.955,Short-Term
2023-07-31,SELL,META,1.6785,323.28,542.6255,Short-Term
2023-08-01,BUY,META,1.6399,317.45,520.5863,--
2023-08-02,BUY,MCD,1.795,290.5,521.4475,--
2023-08-02,SELL,CSCO,7.5047,52.39,393.1712,Short-Term
2023-08-03,BUY,BABA,5.4972,97.04,533.4483,--
2023-08-03,BUY,HD,1.5909,328.39,522.4357,--
2023-08-04,SELL,META,1.6399,314.96,516.5029,Short-Term
2023-08-07,BUY,BRK-B,1.495,356.06,532.3097,--
2023-08-07,SELL,MRK,1.5787,105.29,166.2213,Short-Term
2023-08-08,BUY,TSM,5.4221,94.83,514.1777,--
2023-08-08,SELL,AMZN,3.8693,140.65,544.217,Short-Term
2023-08-08,SELL,BRK-B,1.495,359.17,536.9592,Short-Term
2023-08-09,BUY,AMZN,3.7412,139.96,523.6184,--
2023-08-09,BUY,TM,3.0745,168.19,517.1002,--
2023-08-10,BUY,NOW,0.9513,557.35,530.2071,--
2023-08-10,BUY,COST,0.9354,563.66,527.2476,--
2023-08-10,SELL,CRM,2.285,208.18,475.6913,Short-Term
2023-08-11,BUY,KO,8.561,60.87,521.1081,--
2023-08-14,BUY,LLY,0.9872,535.0,528.152,--
2023-08-14,BUY,V,2.1727,241.26,524.1856,--
2023-08-14,BUY,BRK-B,1.4554,358.11,521.1933,--
2023-08-15,SELL,V,2.1727,242.01,525.8151,Short-Term
2023-08-15,DIV,PG,2.399,0.9407,2.26,Ordinary
