Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2015-09-08,2015-07-20,2015-08-21,2015-08-25,0.75
2015-12-08,2015-10-22,2015-11-20,2015-11-24,0.75
2016-03-08,2016-01-04,2016-02-19,2016-02-23,0.75
2016-06-07,2016-04-28,2016-05-20,2016-05-24,0.80
2016-09-06,2016-07-18,2016-08-19,2016-08-23,0.80
2016-12-06,2016-10-20,2016-11-18,2016-11-22,0.80
2017-03-14,2017-01-03,2017-02-24,2017-02-28,0.80
2017-06-13,2017-04-27,2017-05-25,2017-05-30,0.84
2017-09-12,2017-07-17,2017-08-25,2017-08-29,0.84
2017-12-12,2017-10-19,2017-11-27,2017-11-28,0.84
2018-03-13,2018-01-02,2018-02-26,2018-02-27,0.84
2018-06-12,2018-04-26,2018-05-25,2018-05-29,0.90
2018-09-11,2018-07-17,2018-08-27,2018-08-28,0.90
2018-12-11,2018-10-18,2018-11-26,2018-11-27,0.90
2019-03-12,2019-01-02,2019-02-25,2019-02-26,0.90
2019-06-11,2019-04-26,2019-05-24,2019-05-28,0.95
2019-09-10,2019-07-16,2019-08-26,2019-08-27,0.95
2019-12-10,2019-10-18,2019-11-25,2019-11-26,0.95
2020-03-10,2020-01-02,2020-02-24,2020-02-25,0.95
2020-06-09,2020-04-14,2020-05-22,2020-05-26,1.01
2020-09-08,2020-07-20,2020-08-24,2020-08-25,1.01
2020-12-08,2020-10-22,2020-11-23,2020-11-24,1.01
2021-03-09,2021-01-04,2021-02-22,2021-02-23,1.01
2021-09-07,2021-07-19,2021-08-23,2021-08-24,1.06
2021-12-07,2021-10-21,2021-11-22,2021-11-23,1.06
2022-03-08,2022-01-04,2022-02-18,2022-02-22,1.06
2022-06-07,2022-04-19,2022-05-23,2022-05-24,1.13
2022-09-06,2022-07-18,2022-08-22,2022-08-23,1.13
2022-12-06,2022-10-19,2022-11-21,2022-11-22,1.13
2023-03-07,2023-01-03,2023-02-17,2023-02-21,1.13
2023-06-06,2023-04-18,2023-05-22,2023-05-23,1.19
2023-09-07,2023-07-20,2023-08-25,2023-08-28,1.19
