Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2017-05-15,2017-04-11,2017-04-19,2017-04-21,0.6896
2017-08-15,2017-07-11,2017-07-19,2017-07-21,0.6896
2017-11-15,2017-10-10,2017-10-19,2017-10-20,0.6896
2018-02-15,2018-01-09,2018-01-18,2018-01-19,0.6896
2018-05-15,2018-04-10,2018-04-19,2018-04-20,0.7172
2018-08-15,2018-07-11,2018-07-19,2018-07-20,0.7172
2018-11-15,2018-10-09,2018-10-18,2018-10-19,0.7172
2019-02-15,2019-01-09,2019-01-17,2019-01-18,0.7172
2019-05-15,2019-04-10,2019-04-17,2019-04-19,0.7459
2019-08-15,2019-07-10,2019-07-18,2019-07-19,0.7459
2019-11-15,2019-10-08,2019-10-17,2019-10-18,0.7459
2020-02-18,2020-01-15,2020-01-23,2020-01-24,0.7459
2020-05-15,2020-04-14,2020-04-23,2020-04-24,0.7907
2020-08-17,2020-07-14,2020-07-23,2020-07-24,0.7907
2020-11-16,2020-10-13,2020-10-22,2020-10-23,0.7907
2021-02-16,2021-01-12,2021-01-21,2021-01-22,0.7907
2021-05-17,2021-04-13,2021-04-22,2021-04-23,0.8698
2021-08-16,2021-07-13,2021-07-22,2021-07-23,0.8698
2021-11-15,2021-10-12,2021-10-21,2021-10-22,0.8698
2022-02-15,2022-01-11,2022-01-20,2022-01-21,0.8698
2022-05-16,2022-04-12,2022-04-21,2022-04-22,0.9133
2022-08-15,2022-07-12,2022-07-21,2022-07-22,0.9133
2022-11-15,2022-10-11,2022-10-20,2022-10-21,0.9133
2023-02-15,2023-01-10,2023-01-19,2023-01-20,0.9133
2023-05-15,2023-04-11,2023-04-20,2023-04-21,0.9407
2023-08-15,2023-07-11,2023-07-20,2023-07-21,0.9407
